Property_ID,Listing_Date,Area,Community,Property_Type,Developer,Bedrooms,Bathrooms,Size_SqFt,Floor_No,Parking_Spaces,Furnished,Handover_Status,Property_Age,Sale_Price,Annual_Rent,Service_Charges,Distance_To_Metro,Distance_To_Downtown,Nearby_Schools,Nearby_Malls,Latitude,Longitude,Agent_Name,Listing_Status,Transaction_Type,Completion_Status,Price_Per_SqFt,Rent_Per_SqFt,Rental_Yield,Listing_Month,Listing_Year,Luxury_Flag,Premium_Location_Flag,Accessibility_Score,Neighborhood_Convenience_Score,Investment_Grade
PROP_00001,2024-09-08,Downtown Dubai,Burj Views,Townhouse,Azizi,5,5.0,2460,0.0,1.0,Yes,Ready,6,7831435.59,353861.06,31863.74,1.89,2.95,4,5,25.195959,55.25429,Sara,Active,Sale,Completed,3183.5104024390243,143.8459593495935,4.518469901633961,9,2024,1,1,7.76,4.6,High
PROP_00002,2023-04-15,Dubai Marina,Cayan Tower,Apartment,Danube,2,3.0,1521,44.0,1.0,Yes,Ready,4,3882132.76,156928.07,41246.42,0.82,19.01,4,3,25.075366,55.135343,Ahmed,Sold,Rent,Completed,2552.3555292570677,103.17427350427351,4.042315904724495,4,2023,1,1,6.289,3.4,High
PROP_00003,2023-07-16,Downtown Dubai,Opera District,Apartment,Ellington,4,4.0,1109,38.0,3.0,No,Off-Plan,0,3139158.53,141155.87,27186.73,1.28,1.0,6,5,25.195561,55.259637,Sara,Rented,Sale,Upcoming,2830.6208566275923,127.28211902614969,4.496614893800856,7,2023,1,1,8.26,5.4,High
PROP_00004,2024-12-19,Downtown Dubai,Burj Views,Townhouse,Sobha,4,4.0,2867,2.0,1.0,Yes,Off-Plan,0,8837346.3,409803.98,68794.22,0.9,4.97,4,3,25.191197,55.283874,Hassan,Active,Sale,Upcoming,3082.436798046739,142.93825601674223,4.6371836758281155,12,2024,1,1,7.6530000000000005,3.4,Medium
PROP_00005,2023-03-09,Downtown Dubai,The Residences,Townhouse,Azizi,4,4.0,2963,1.0,1.0,Yes,Ready,10,9476327.11,421485.94,42986.28,2.06,3.9,7,3,25.200956,55.262468,Omar,Sold,Rent,Completed,3198.2204218697266,142.24972662841714,4.447777446973335,3,2023,1,1,7.18,4.6,High
PROP_00006,2024-03-14,JVC,District 15,Studio,Ellington,0,1.0,351,34.0,1.0,Yes,Ready,7,314991.03,18000.0,6837.2,5.26,17.18,5,5,25.034217,55.200561,Hassan,Sold,Rent,Completed,897.410341880342,51.282051282051285,5.714448440007958,3,2024,0,0,4.652,5.0,Medium
PROP_00007,2023-09-15,Silicon Oasis,Palace Towers,Apartment,Nakheel,2,3.0,1645,9.0,2.0,No,Ready,12,1678635.69,76859.95,39715.73,4.73,21.98,8,5,25.116619,55.365533,Fatima,Active,Rent,Completed,1020.4472279635258,46.72337386018237,4.578715349487178,9,2023,0,0,4.436999999999999,6.2,Medium
PROP_00008,2025-02-19,International City,China Cluster,Townhouse,DAMAC,3,4.0,1979,20.0,3.0,No,Off-Plan,0,1486561.43,74203.6,30579.46,6.33,26.24,5,5,25.163565,55.405247,Maryam,Sold,Sale,Upcoming,751.1679787771601,37.49550277918141,4.991626884870813,2,2025,0,0,3.2110000000000003,5.0,Medium
PROP_00009,2023-09-03,Business Bay,Bay Square,Penthouse,Sobha,5,7.0,7748,63.0,1.0,Yes,Ready,3,24743627.33,1200750.06,103554.53,1.75,7.06,6,3,25.182908,55.274113,Ahmed,Active,Sale,Completed,3193.550249096541,154.97548528652555,4.852764891686558,9,2023,1,0,7.019,4.2,Medium
PROP_00010,2024-09-13,Dubai Marina,Marina Gate,Studio,DAMAC,0,1.0,382,61.0,2.0,Yes,Ready,5,738163.73,34148.26,3711.54,0.31,21.95,5,5,25.088125,55.153562,Fatima,Active,Rent,Completed,1932.365785340314,89.39335078534032,4.6261091695740735,9,2024,0,1,6.6499999999999995,5.0,High
PROP_00011,2023-01-22,Palm Jumeirah,Shoreline,Penthouse,Azizi,5,7.0,4070,16.0,1.0,No,Ready,7,21678851.5,859241.64,84451.7,5.98,18.72,2,3,25.12778,55.138642,Hassan,Rented,Sale,Completed,5326.49914004914,211.11588206388205,3.9635016642832763,1,2023,1,1,3.738,2.5999999999999996,Low
PROP_00012,2023-08-08,Silicon Oasis,Axis Residences,Apartment,Azizi,1,2.0,1042,10.0,2.0,Yes,Ready,7,925113.35,46697.6,28329.79,5.88,27.13,5,4,25.123505,55.377866,Sara,Rented,Sale,Completed,887.8247120921305,44.81535508637236,5.04777063264734,8,2023,0,0,3.1470000000000002,4.4,Medium
PROP_00013,2024-11-20,International City,China Cluster,Townhouse,Meraas,5,6.0,2163,3.0,2.0,Yes,Off-Plan,0,1943646.77,89763.3,50199.86,7.34,26.44,8,1,25.186872,55.424229,Sara,Sold,Sale,Upcoming,898.5884281091078,41.4994452149792,4.6182928598698005,11,2024,0,0,1.8859999999999997,3.8000000000000003,Low
PROP_00014,2024-07-17,Downtown Dubai,Burj Views,Apartment,Ellington,4,4.0,1227,36.0,2.0,Yes,Ready,7,3760935.01,165606.79,30500.23,0.31,3.65,2,4,25.182376,55.272112,Fatima,Active,Sale,Completed,3065.146707416463,134.96885900570499,4.403340912822634,7,2024,1,1,8.28,3.2,High
PROP_00015,2023-01-03,Downtown Dubai,Burj Views,Townhouse,Emaar,5,5.0,2963,3.0,1.0,Yes,Off-Plan,0,9313216.28,425672.3,95109.61,0.94,4.74,3,4,25.203931,55.271834,Hassan,Active,Sale,Upcoming,3143.171204859939,143.66260546743166,4.57062616396148,1,2023,1,1,7.856,3.6,Medium
PROP_00016,2023-02-28,Palm Jumeirah,Golden Mile,Penthouse,Meraas,3,4.0,6529,38.0,1.0,No,Ready,1,32572699.14,1372091.52,52323.73,5.42,17.26,1,3,25.11367,55.126506,Hassan,Rented,Rent,Completed,4988.926196967376,210.15339561954357,4.21239736413198,2,2023,1,1,4.164,2.1999999999999997,Medium
PROP_00017,2023-09-10,Dubai Marina,Cayan Tower,Villa,Nakheel,3,5.0,6413,1.0,2.0,Yes,Off-Plan,0,16944488.5,768693.87,89762.19,0.56,19.31,2,5,25.084041,55.158862,Sara,Active,Rent,Upcoming,2642.2093404023076,119.86494152502729,4.536542191875547,9,2023,1,1,6.789,3.8,Medium
PROP_00018,2024-04-13,Silicon Oasis,Axis Residences,Apartment,DAMAC,2,3.0,1786,31.0,1.0,No,Ready,12,1520769.57,82743.22,17417.23,5.32,24.35,3,3,25.132867,55.38905,Ali,Rented,Sale,Completed,851.4947200447929,46.32879059350504,5.440878199581545,4,2024,0,0,3.505,3.0,Medium
PROP_00019,2024-12-21,Al Furjan,Masakin,Apartment,DAMAC,1,1.0,2286,48.0,1.0,Yes,Ready,5,3070528.71,146955.05,35868.92,3.85,25.2,8,5,25.028039,55.149778,Zain,Rented,Sale,Completed,1343.1884120734908,64.2847987751531,4.785985212299154,12,2024,1,0,4.555,6.2,Medium
PROP_00020,2023-10-16,Arjan,Miraclz,Penthouse,Emaar,4,5.0,5974,14.0,3.0,No,Off-Plan,0,10341828.03,480425.01,157588.43,4.0,21.48,3,3,25.081587,55.257318,Fatima,Active,Rent,Upcoming,1731.139609976565,80.4193187144292,4.645455412779669,10,2023,1,0,4.452,3.0,Low
PROP_00021,2024-10-14,Silicon Oasis,Silicon Gates,Townhouse,Azizi,2,3.0,1802,2.0,1.0,No,Ready,0,2086401.95,91888.48,32401.17,5.5,25.46,6,2,25.121781,55.391181,Ahmed,Sold,Rent,Completed,1157.8257214206437,50.992497225305215,4.404159994194791,10,2024,0,0,3.104,3.6000000000000005,Medium
PROP_00022,2023-02-10,Arjan,Lincoln Park,Townhouse,Danube,4,4.0,3791,3.0,1.0,Yes,Ready,1,4980714.9,245305.47,115827.06,5.21,21.22,5,3,25.060997,55.239965,Ahmed,Rented,Rent,Completed,1313.8261408599315,64.70732524399895,4.925105630920573,2,2023,1,0,3.873,3.8,Low
PROP_00023,2025-01-24,Al Furjan,Masakin,Townhouse,DAMAC,3,3.0,3555,1.0,2.0,No,Off-Plan,0,4458519.42,243568.72,30032.18,4.25,21.9,1,2,25.032736,55.135806,Fatima,Sold,Rent,Upcoming,1254.1545485232068,68.51440787623066,5.46299560583724,1,2025,1,0,4.085,1.6,Medium
PROP_00024,2023-08-22,Al Furjan,Azizi Tulip,Studio,Azizi,0,1.0,478,29.0,1.0,No,Ready,14,466550.99,21377.5,12544.46,3.53,28.1,6,3,25.046723,55.148964,Ahmed,Rented,Sale,Completed,976.0480962343096,44.72280334728033,4.582028643857342,8,2023,0,0,4.025,4.2,Medium
PROP_00025,2024-08-17,JVC,District 10,Townhouse,Danube,4,5.0,1862,2.0,1.0,No,Ready,3,2256768.56,123823.43,48076.04,6.05,18.45,5,2,25.057846,55.213599,Ali,Active,Rent,Completed,1212.0131901181526,66.50023093447905,5.486758021832775,8,2024,0,0,3.53,3.2,Medium
PROP_00026,2024-07-05,Arjan,Lincoln Park,Apartment,Danube,4,4.0,658,33.0,1.0,No,Ready,13,697184.45,36210.62,10218.43,6.65,23.56,1,5,25.057145,55.255653,Sara,Sold,Sale,Completed,1059.5508358662614,55.031337386018244,5.193836437401896,7,2024,0,0,3.319,3.4,Medium
PROP_00027,2024-03-06,JVC,District 12,Apartment,Ellington,3,4.0,2346,42.0,2.0,No,Ready,9,2823571.5,139743.12,59435.57,5.68,18.45,3,2,25.043831,55.221493,Ali,Active,Rent,Completed,1203.5684143222506,59.566547314578,4.949161726558014,3,2024,1,0,3.7150000000000003,2.4000000000000004,Low
PROP_00028,2024-04-29,Palm Jumeirah,Marina Residences,Townhouse,Nakheel,5,6.0,3304,3.0,2.0,No,Ready,14,11861063.68,529743.83,42125.94,6.5,20.65,4,5,25.107775,55.127875,Omar,Active,Sale,Completed,3589.9103147699757,160.33408898305083,4.466242187817003,4,2024,1,1,3.685,4.6,Medium
